Feature,Description
City,City Name
State,US State where city is located
Median Age,Median age of the population
Male Population,Count of male population
Female Population,Count of female population
Total Population,Count of total population
Number of Veterans,Count of total Veterans
Foreign born,Count of residents of the city that were not born in the city
Average Household Size,Average city household size
State Code,Code of the US state
Race,Respondent race
Count,Count of city's individual per race
